education,language,age_category,income_category,income_number,gender,province,health,citizenship,born_in_canada,marital_status,owns_house,vote_choice
College/Trade,English,65-74,"$50,000 to $74,999",55000,Male,Ontario,Don't Know,Yes,Yes,Married,Own a residence,1
Bachelor,English_and_French,25-34,"$75,000 to $99,999",75000,Female,Alberta,Good/Very Good,Yes,Yes,Married,No residence,1
College/Trade,English,55-64,"$75,000 to $99,999",80000,Male,Ontario,Good/Very Good,No,No,Married,Own a residence,2
Bachelor,English,25-34,"Less than $25,000",-4990434191279973e28,Male,Ontario,Poor/Fair,Yes,Yes,Married,No residence,2
Bachelor,English,15-24,"Less than $25,000",-4453920511262004e28,Female,Ontario,Poor/Fair,Yes,No,Separated,No residence,5
College/Trade,English,55-64,"$25,000 to $49,999",39000,Female,British Columbia,Poor/Fair,Yes,Yes,Separated,No residence,3
College/Trade,English_and_French,35-44,"Less than $25,000",3435670899566789e40,Female,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,1
Bachelor,English,55-64,"$75,000 to $99,999",87000,Female,British Columbia,Good/Very Good,Yes,No,Married,Own a residence,2
Bachelor,French,35-44,"$75,000 to $99,999",90000,Female,Quebec,Excellent,Yes,No,Living with a partner,Own a residence,1
Bachelor,English,35-44,"Less than $25,000",-4963756053713372e28,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,3
College/Trade,English_and_French,35-44,"$75,000 to $99,999",75000,Male,Maintoba,Good/Very Good,Yes,Yes,Divorced,Own a residence,5
High School,English,35-44,"Less than $25,000",-5120144385032364e28,Female,British Columbia,Poor/Fair,Yes,Yes,Married,Own a residence,2
College/Trade,English,35-44,"Less than $25,000",-4902167667559618e28,Female,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,1
High School,English,25-34,"Less than $25,000",-4946878048314093e28,Female,Alberta,Poor/Fair,Yes,Yes,Never Married,No residence,3
College/Trade,English,65-74,"$25,000 to $49,999",49000,Female,British Columbia,Poor/Fair,Yes,Yes,Married,Own a residence,2
No degree/diploma,French,55-64,"Less than $25,000",-4816699626024819e28,Female,Quebec,Poor/Fair,Yes,Yes,Married,No residence,2
College/Trade,English,55-64,"$125,000 and more",250000,Female,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,English,35-44,"Less than $25,000",-5162524512138166e28,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,3
Bachelor,English,25-34,"$100,000 to $ 124,999",120000,Male,Maintoba,Good/Very Good,No,No,Never Married,Own a residence,1
Bachelor,Neither English nor French,15-24,"Less than $25,000",-4415166433058112e28,Female,British Columbia,Poor/Fair,No,No,Never Married,No residence,1
High School,English,75-84,"Less than $25,000",-4795030444899294e28,Female,Ontario,Poor/Fair,Yes,Yes,Divorced,No residence,3
High School,French,25-34,"$25,000 to $49,999",35000,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,1
Postgrad,Neither English nor French,25-34,"$125,000 and more",125000,Female,Ontario,Good/Very Good,No,No,Married,No residence,1
College/Trade,English_and_French,45-54,"$100,000 to $ 124,999",100000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,5
College/Trade,English,55-64,"$100,000 to $ 124,999",124000,Female,Maintoba,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,3
Postgrad,English_and_French,55-64,"$75,000 to $99,999",79000,Male,Quebec,Good/Very Good,Yes,Yes,Never Married,Own a residence,4
Bachelor,English,45-54,"$75,000 to $99,999",89000,Female,British Columbia,Poor/Fair,Yes,Yes,Living with a partner,No residence,1
Bachelor,French,55-64,"Less than $25,000",12000,Female,Quebec,Excellent,Yes,Yes,Never Married,No residence,4
Bachelor,English,15-24,"Less than $25,000",-4905837272604493e28,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,1
Bachelor,English,15-24,"Less than $25,000",-4958714430165071e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
Bachelor,English,25-34,"$125,000 and more",130000,Male,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,French,35-44,"Less than $25,000",22000,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,4
College/Trade,English,45-54,"Less than $25,000",-4442182130732699e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
College/Trade,English,45-54,"$125,000 and more",130000,Female,Ontario,Poor/Fair,Yes,No,Divorced,No residence,1
High School,French,25-34,"Less than $25,000",-4788453467311446e28,Female,Quebec,Poor/Fair,Yes,Yes,Married,No residence,1
Bachelor,English,45-54,"$75,000 to $99,999",75000,Male,British Columbia,Poor/Fair,Yes,Yes,Married,Own a residence,1
College/Trade,English,55-64,"$25,000 to $49,999",49000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,No residence,1
Bachelor,English,45-54,"$125,000 and more",150000,Female,Alberta,Good/Very Good,Yes,No,Married,Own a residence,2
Postgrad,English,45-54,"$125,000 and more",210000,Male,Alberta,Excellent,Yes,Yes,Married,Own a residence,1
Bachelor,English,55-64,"Less than $25,000",16000,Female,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,2
Postgrad,English,35-44,"$50,000 to $74,999",60000,Female,Ontario,Good/Very Good,Yes,No,Never Married,No residence,1
College/Trade,English,45-54,"$25,000 to $49,999",35000,Female,Ontario,Poor/Fair,Yes,Yes,Divorced,No residence,5
College/Trade,French,55-64,"Less than $25,000",-443826207786577e29,Female,Quebec,Excellent,Yes,No,Divorced,No residence,1
Bachelor,English,55-64,"Less than $25,000",10000,Male,Ontario,Don't Know,Yes,Yes,Never Married,Own a residence,2
Bachelor,English,25-34,"Less than $25,000",-5103789053348677e28,Male,Ontario,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,2
College/Trade,English,55-64,"$25,000 to $49,999",32000,Male,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,English,35-44,"$125,000 and more",139000,Male,Maintoba,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,Neither English nor French,35-44,"$100,000 to $ 124,999",120000,Male,Quebec,Good/Very Good,Yes,No,Married,Own a residence,3
College/Trade,English,25-34,"$25,000 to $49,999",47000,Male,Ontario,Don't Know,Yes,Yes,Never Married,No residence,1
College/Trade,English,45-54,"Less than $25,000",-39803563468654722e27,Female,British Columbia,Don't Know,Yes,Yes,Never Married,No residence,1
High School,French,65-74,"$50,000 to $74,999",65000,Male,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,4
Bachelor,French,65-74,"$25,000 to $49,999",32700,Male,Quebec,Don't Know,Yes,Yes,Never Married,No residence,4
Postgrad,French,55-64,"$125,000 and more",135000,Female,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,4
High School,English,65-74,"$125,000 and more",165000,Male,British Columbia,Poor/Fair,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"$75,000 to $99,999",84000,Female,British Columbia,Excellent,Yes,No,Married,Own a residence,3
High School,English,35-44,"Less than $25,000",-4970104361550649e28,Male,Maintoba,Poor/Fair,Yes,Yes,Never Married,No residence,3
College/Trade,English,35-44,"$25,000 to $49,999",34000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,5
College/Trade,English,45-54,"$50,000 to $74,999",60000,Female,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,1
College/Trade,French,45-54,"$25,000 to $49,999",35000,Female,Quebec,Don't Know,Yes,Yes,Never Married,Own a residence,4
College/Trade,French,55-64,"Less than $25,000",-488041137414816e29,Female,Quebec,Good/Very Good,Yes,Yes,Living with a partner,No residence,2
High School,French,55-64,"$100,000 to $ 124,999",105000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,1
Postgrad,English,25-34,"$75,000 to $99,999",84950,Male,Ontario,Good/Very Good,Yes,Yes,Married,No residence,2
Bachelor,English,55-64,"Less than $25,000",-4935978123536882e28,Male,Ontario,Poor/Fair,Yes,Yes,Married,No residence,1
Postgrad,French,65-74,"Less than $25,000",18500,Male,Quebec,Good/Very Good,Yes,Yes,Never Married,No residence,1
Bachelor,French,65-74,"$50,000 to $74,999",74000,Male,Quebec,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,1
High School,French,55-64,"Less than $25,000",11000,Female,Quebec,Good/Very Good,Yes,Yes,Never Married,No residence,4
Bachelor,French,65-74,"$50,000 to $74,999",54000,Male,Quebec,Good/Very Good,Yes,Yes,Widowed,Own a residence,4
High School,English,35-44,"Less than $25,000",-4985392567731673e28,Male,Quebec,Good/Very Good,Yes,Yes,Never Married,No residence,4
No degree/diploma,English,35-44,"Less than $25,000",11000,Male,Alberta,Poor/Fair,Yes,Yes,Divorced,No residence,3
High School,English,45-54,"$25,000 to $49,999",45000,Male,Ontario,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,1
College/Trade,English,55-64,"$25,000 to $49,999",26000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1
Postgrad,French,35-44,"$75,000 to $99,999",90000,Male,Quebec,Excellent,Yes,Yes,Living with a partner,Own a residence,6
College/Trade,Neither English nor French,75-84,"$50,000 to $74,999",60000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,6
Bachelor,English,35-44,"$75,000 to $99,999",75000,Female,Ontario,Don't Know,Yes,Yes,Living with a partner,Own a residence,1
Bachelor,French,65-74,"$25,000 to $49,999",43000,Male,Quebec,Poor/Fair,Yes,Yes,Married,No residence,2
College/Trade,French,65-74,"Less than $25,000",24000,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,1
No degree/diploma,English,65-74,"Less than $25,000",-5255625767727735e28,Female,Alberta,Good/Very Good,Yes,Yes,Widowed,Own a residence,2
Bachelor,English,45-54,"$125,000 and more",160000,Female,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,Neither English nor French,65-74,"Less than $25,000",-4804983023566998e28,Female,British Columbia,Good/Very Good,Yes,No,Married,No residence,1
Postgrad,English,35-44,"$125,000 and more",1000000,Male,Ontario,Excellent,Yes,Don't know/Prefer not to say,Married,Own a residence,5
College/Trade,English,45-54,"$125,000 and more",210000,Female,British Columbia,Excellent,Yes,Yes,Married,Own a residence,1
High School,English,15-24,"Less than $25,000",-4891583524818909e28,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
Bachelor,English,25-34,"$75,000 to $99,999",89000,Female,Ontario,Excellent,Yes,Yes,Never Married,Own a residence,1
College/Trade,English,45-54,"$75,000 to $99,999",90000,Female,British Columbia,Poor/Fair,Yes,Yes,Married,Own a residence,1
High School,French,35-44,"$25,000 to $49,999",30000,Male,Quebec,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
High School,English_and_French,15-24,"Less than $25,000",-41383562554742023e27,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,1
College/Trade,French,35-44,"$75,000 to $99,999",90000,Female,Quebec,Good/Very Good,Yes,No,Married,Own a residence,1
Bachelor,English,45-54,"$100,000 to $ 124,999",115000,Male,Alberta,Excellent,Yes,Yes,Married,Own a residence,5
Postgrad,English,75-84,"$75,000 to $99,999",78000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,2
College/Trade,English,35-44,"$25,000 to $49,999",37115,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,6
College/Trade,English,65-74,"$75,000 to $99,999",75000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
Bachelor,English,45-54,"Less than $25,000",22500,Male,Alberta,Excellent,Yes,Yes,Married,Own a residence,2
Bachelor,English,65-74,"$50,000 to $74,999",50000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,5
College/Trade,English,65-74,"$100,000 to $ 124,999",115000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
Postgrad,English,55-64,"$50,000 to $74,999",54000,Female,British Columbia,Excellent,Yes,Yes,Married,Own a residence,5
Bachelor,English,45-54,"$25,000 to $49,999",40000,Female,Quebec,Poor/Fair,Yes,No,Never Married,Own a residence,1
No degree/diploma,English,35-44,"$75,000 to $99,999",80000,Male,Alberta,Don't Know,Yes,Yes,Never Married,Own a residence,5
Bachelor,English_and_French,45-54,"Less than $25,000",3435670899566846e40,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Postgrad,English_and_French,25-34,"$100,000 to $ 124,999",100000,Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,No residence,1
College/Trade,English,75-84,"$25,000 to $49,999",32000,Male,Ontario,Poor/Fair,Yes,Yes,Married,No residence,1
Bachelor,English,35-44,"$50,000 to $74,999",65000,Female,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,3
Postgrad,English,35-44,"$125,000 and more",205000,Male,Alberta,Excellent,Yes,Yes,Married,Own a residence,1
College/Trade,English,35-44,"$75,000 to $99,999",99999,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"Less than $25,000",-5.2187119365641515e+43,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1
Bachelor,English,35-44,"$25,000 to $49,999",48000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,5
College/Trade,English,45-54,"Less than $25,000",-4634253832176489e28,Female,Maintoba,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,English_and_French,45-54,"Less than $25,000",14000,Male,Quebec,Poor/Fair,Yes,Yes,Living with a partner,No residence,1
College/Trade,English,55-64,"Less than $25,000",-4932493632099611e28,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,3
Postgrad,Neither English nor French,55-64,"Less than $25,000",18000,Female,Ontario,Poor/Fair,Yes,No,Married,Own a residence,1
Bachelor,English,35-44,"$75,000 to $99,999",99000,Female,Ontario,Poor/Fair,Yes,No,Married,Own a residence,2
College/Trade,English,25-34,"Less than $25,000",-48706765761952865e27,Female,Alberta,Poor/Fair,Yes,Yes,Never Married,No residence,2
Bachelor,English,25-34,"$50,000 to $74,999",55000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,2
High School,English,55-64,"$25,000 to $49,999",46000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
Postgrad,Neither English nor French,35-44,"Less than $25,000",-4929379367877551e28,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1
High School,English,55-64,"$50,000 to $74,999",50000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,3
College/Trade,English,25-34,"$25,000 to $49,999",30000,Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence,1
College/Trade,English,55-64,"Less than $25,000",-5001247003771253e28,Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,No residence,2
Bachelor,English,45-54,"$25,000 to $49,999",29000,Female,Ontario,Poor/Fair,Yes,Yes,Divorced,Own a residence,1
High School,English,55-64,"Less than $25,000",-5012092483369758e28,Female,Alberta,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
No degree/diploma,English,35-44,"$75,000 to $99,999",90000,Male,Alberta,Good/Very Good,Yes,Yes,Married,No residence,2
High School,English,25-34,"Less than $25,000",-4764813370716715e28,Male,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,5
Bachelor,French,75-84,"$25,000 to $49,999",35000,Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,4
College/Trade,French,35-44,"$100,000 to $ 124,999",120000,Female,Quebec,Excellent,Yes,Yes,Living with a partner,Own a residence,2
Bachelor,English,45-54,"$50,000 to $74,999",59000,Female,Maintoba,Poor/Fair,Yes,No,Married,No residence,2
Bachelor,English,45-54,"Less than $25,000",14000,Female,Ontario,Don't Know,Yes,Yes,Separated,No residence,1
Bachelor,French,55-64,"Less than $25,000",16000,Male,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,4
College/Trade,English,55-64,"$125,000 and more",140000,Female,Ontario,Excellent,Yes,Yes,Never Married,Own a residence,3
High School,English,45-54,"$100,000 to $ 124,999",120000,Male,Ontario,Poor/Fair,No,No,Living with a partner,Own a residence,2
Postgrad,French,35-44,"Less than $25,000",-4295071257865439e28,Female,Quebec,Excellent,Yes,Yes,Never Married,No residence,1
Bachelor,English,45-54,"$75,000 to $99,999",80000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
Bachelor,French,55-64,"$75,000 to $99,999",77000,Female,Maintoba,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,English,65-74,"Less than $25,000",-502121749532111e29,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
Bachelor,French,55-64,"$75,000 to $99,999",88000,Female,Quebec,Excellent,Yes,No,Divorced,Own a residence,1
Bachelor,English_and_French,25-34,"Less than $25,000",-4363998854108944e28,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,1
Postgrad,Neither English nor French,35-44,"$75,000 to $99,999",83000,Female,Ontario,Poor/Fair,Yes,No,Married,Own a residence,2
High School,French,55-64,"$25,000 to $49,999",27000,Female,Quebec,Don't Know,Yes,Yes,Never Married,Own a residence,4
Bachelor,English_and_French,65-74,"Less than $25,000",-4406030532071019e28,Male,Quebec,Good/Very Good,Yes,Yes,Married,No residence,1
High School,English,35-44,"$50,000 to $74,999",69000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
College/Trade,English,75-84,"Less than $25,000",21000,Female,Quebec,Excellent,Yes,Yes,Widowed,No residence,2
College/Trade,French,45-54,"$75,000 to $99,999",76000,Female,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,2
Bachelor,French,65-74,"Less than $25,000",-4917161869775622e28,Male,Quebec,Poor/Fair,Yes,Yes,Divorced,Own a residence,1
Bachelor,English,25-34,"Less than $25,000",-5173359102700928e28,Female,Alberta,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,2
Bachelor,French,35-44,"Less than $25,000",-500426326667164e29,Female,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English_and_French,35-44,"$100,000 to $ 124,999",105000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Postgrad,English,35-44,"$125,000 and more",125000,Male,British Columbia,Excellent,Yes,Yes,Married,Own a residence,2
College/Trade,English,65-74,"Less than $25,000",-5265262564358936e28,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,English,35-44,"$125,000 and more",135000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,3
College/Trade,English_and_French,15-24,"Less than $25,000",-40846624202330136e27,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,Own a residence,3
Bachelor,English,65-74,"$25,000 to $49,999",42200,Female,Quebec,Excellent,Yes,Yes,Widowed,Own a residence,1
High School,English,35-44,"Less than $25,000",-5073267086165337e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
College/Trade,Neither English nor French,45-54,"$75,000 to $99,999",83000,Female,Quebec,Good/Very Good,Yes,No,Married,Own a residence,1
Bachelor,English_and_French,45-54,"$50,000 to $74,999",70000,Female,Ontario,Good/Very Good,Yes,No,Married,No residence,1
Bachelor,English,55-64,"$75,000 to $99,999",91000,Male,Saskatchewan,Good/Very Good,Yes,Yes,Married,Own a residence,3
Bachelor,English,35-44,"$75,000 to $99,999",81000,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,3
College/Trade,English,65-74,"$100,000 to $ 124,999",100000,Male,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,English,75-84,"Less than $25,000",-4496126413795942e28,Female,British Columbia,Excellent,Yes,No,Widowed,Own a residence,1
Bachelor,English,25-34,"$50,000 to $74,999",60000,Male,British Columbia,Good/Very Good,No,No,Never Married,No residence,1
Bachelor,English,25-34,"Less than $25,000",10000,Female,Alberta,Poor/Fair,Yes,Yes,Never Married,No residence,3
College/Trade,French,75-84,"Less than $25,000",-41996833047701617e27,Male,Quebec,Excellent,Yes,Yes,Divorced,No residence,2
Bachelor,English,65-74,"Less than $25,000",20000,Male,British Columbia,Good/Very Good,Yes,Yes,Divorced,Own a residence,5
College/Trade,English,25-34,"Less than $25,000",3999,Female,Ontario,Excellent,Yes,Yes,Living with a partner,Own a residence,2
Bachelor,French,35-44,"$125,000 and more",135000,Female,Ontario,Excellent,Yes,Yes,Married,No residence,1
High School,English,35-44,"$25,000 to $49,999",44654,Male,Saskatchewan,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
Bachelor,Neither English nor French,35-44,"$75,000 to $99,999",80000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,1
College/Trade,French,45-54,"Less than $25,000",24000,Male,Ontario,Poor/Fair,Yes,Yes,Married,No residence,1
Bachelor,Neither English nor French,65-74,"$25,000 to $49,999",45000,Male,Ontario,Poor/Fair,Yes,No,Living with a partner,No residence,2
College/Trade,English_and_French,15-24,"$50,000 to $74,999",72000,Male,Quebec,Excellent,Yes,Yes,Living with a partner,Own a residence,2
Bachelor,Neither English nor French,45-54,"Less than $25,000",-44338737964619573e27,Female,Quebec,Good/Very Good,Yes,No,Married,No residence,1
Bachelor,English,45-54,"$100,000 to $ 124,999",110000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,2
College/Trade,English,25-34,"$50,000 to $74,999",52000,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,1
College/Trade,English,45-54,"$50,000 to $74,999",62000,Female,Alberta,Good/Very Good,Yes,Yes,Divorced,Own a residence,2
Bachelor,English,35-44,"Less than $25,000",-4503258732206605e28,Female,Ontario,Excellent,Yes,No,Separated,Own a residence,1
No degree/diploma,English,55-64,"Less than $25,000",-47902392691730475e27,Female,Ontario,Excellent,Yes,Yes,Never Married,Own a residence,2
College/Trade,French,45-54,"Less than $25,000",-3949943270039546e28,Male,Ontario,Excellent,Yes,No,Married,Own a residence,1
College/Trade,English,35-44,"$25,000 to $49,999",45000,Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence,2
Postgrad,English,35-44,"$100,000 to $ 124,999",100000,Male,Ontario,Good/Very Good,No,No,Married,No residence,1
College/Trade,English,45-54,"$75,000 to $99,999",90000,Male,British Columbia,Don't Know,Yes,Yes,Married,No residence,1
High School,English,65-74,"$25,000 to $49,999",42000,Male,Maintoba,Poor/Fair,Yes,Yes,Married,Own a residence,2
College/Trade,Neither English nor French,35-44,"Less than $25,000",-4317938232922526e28,Female,Ontario,Poor/Fair,No,No,Married,Own a residence,1
College/Trade,French,65-74,"$50,000 to $74,999",69000,Female,Quebec,Good/Very Good,Yes,Yes,Widowed,Own a residence,3
Bachelor,English,35-44,"Less than $25,000",-4463644420179137e28,Female,Ontario,Excellent,Yes,Yes,Separated,No residence,1
High School,English,55-64,"$100,000 to $ 124,999",124000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,2
High School,English,55-64,"$25,000 to $49,999",45000,Female,Ontario,Poor/Fair,Yes,Yes,Divorced,Own a residence,2
College/Trade,English,35-44,"Less than $25,000",8000,Female,Ontario,Don't Know,Yes,Yes,Divorced,No residence,6
College/Trade,French,15-24,"Less than $25,000",-4593158611288181e28,Male,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,3
Bachelor,English,55-64,"$100,000 to $ 124,999",110000,Female,Saskatchewan,Poor/Fair,Yes,Yes,Married,Own a residence,2
High School,English,45-54,"Less than $25,000",-4504826753353376e28,Male,Alberta,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,2
College/Trade,Neither English nor French,65-74,"$50,000 to $74,999",56000,Female,Ontario,Good/Very Good,Yes,No,Widowed,No residence,2
No degree/diploma,French,15-24,"Less than $25,000",5000,Female,Quebec,Poor/Fair,Yes,Yes,Separated,No residence,1
Bachelor,English_and_French,15-24,"$50,000 to $74,999",54000,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,5
Bachelor,English,55-64,"$75,000 to $99,999",79000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,3
High School,English,55-64,"Less than $25,000",-5222817103038685e28,Female,Northwest Territories,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,English,35-44,"$50,000 to $74,999",55000,Female,Ontario,Don't Know,Yes,Yes,Living with a partner,Own a residence,3
Bachelor,English,35-44,"$50,000 to $74,999",70000,Male,British Columbia,Good/Very Good,Yes,Yes,Don't know/Prefer not to answer,Own a residence,1
Bachelor,English_and_French,15-24,"Less than $25,000",-3992660957253333e28,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,5
High School,French,65-74,"$75,000 to $99,999",75000,Female,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,English,55-64,"$100,000 to $ 124,999",110000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,Neither English nor French,45-54,"Less than $25,000",0,Female,Ontario,Good/Very Good,Yes,Don't know/Prefer not to say,Don't know/Prefer not to answer,No residence,1
College/Trade,English,45-54,"$25,000 to $49,999",30000,Male,Maintoba,Poor/Fair,Yes,Yes,Married,No residence,2
Bachelor,English,55-64,"$125,000 and more",200000,Male,British Columbia,Good/Very Good,Yes,No,Married,Own a residence,1
College/Trade,English_and_French,15-24,"Less than $25,000",-40970323648353237e27,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,2
College/Trade,English,25-34,"$125,000 and more",269000,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,3
Bachelor,English_and_French,55-64,"Less than $25,000",-4140479617443789e28,Female,Ontario,Good/Very Good,Yes,No,Separated,Own a residence,3
Bachelor,English,65-74,"$75,000 to $99,999",78000,Male,Ontario,Poor/Fair,Yes,No,Divorced,No residence,1
Bachelor,English,55-64,"$125,000 and more",145000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,3
Bachelor,English_and_French,35-44,"$100,000 to $ 124,999",100000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,2
High School,French,55-64,"Less than $25,000",-4884080979193036e28,Male,Quebec,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
Postgrad,French,25-34,"$50,000 to $74,999",65000,Male,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,4
Bachelor,English,55-64,"$25,000 to $49,999",48000,Male,Quebec,Good/Very Good,Yes,Yes,Divorced,No residence,3
College/Trade,English,65-74,"$75,000 to $99,999",83000,Male,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,3
High School,English,45-54,"$100,000 to $ 124,999",110000,Female,British Columbia,Excellent,Yes,Yes,Living with a partner,Own a residence,1
No degree/diploma,Neither English nor French,55-64,"Less than $25,000",-43904483219249747e27,Female,Quebec,Poor/Fair,Yes,No,Separated,No residence,5
College/Trade,English,65-74,"Less than $25,000",-4528880633306283e28,Male,Ontario,Don't Know,Yes,Yes,Widowed,Own a residence,5
No degree/diploma,English,35-44,"$100,000 to $ 124,999",120000,Male,British Columbia,Poor/Fair,Yes,Yes,Married,No residence,3
No degree/diploma,French,15-24,"Less than $25,000",-4565827131577091e28,Male,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,2
High School,English,15-24,"$100,000 to $ 124,999",100000,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,1
Bachelor,English,45-54,"$125,000 and more",155000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
No degree/diploma,English,55-64,"$50,000 to $74,999",70000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,3
Bachelor,English,65-74,"Less than $25,000",-5181351654935167e28,Male,Saskatchewan,Poor/Fair,Yes,Yes,Married,Own a residence,1
Bachelor,English,35-44,"$50,000 to $74,999",65000,Female,Alberta,Poor/Fair,Yes,Yes,Married,Own a residence,3
College/Trade,English,55-64,"$125,000 and more",200000,Male,Alberta,Good/Very Good,Yes,No,Married,Own a residence,2
